Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0149573,2017-04-13,2021-05-22,"This is the first epic in Indian Music History, I think. Every single song.

Dilka alam main kya batau tujhe, ek cheherene bahut pyar se dekha mujhe....

Jaane jigar jaaneman, tujhko hai meri kasam, tujo mujhe na mila marjaungi main sanam... janam jaane jaa... oh what a song.

Main dunya bhula dunga tere chahat main...

Bass ek sanam chahiye ashiqui ke liye...

Nazar ke samne jigar paas koi rehta hai woh ho tum...

Dheere dheere se mere zindagi mein ana, dheere dheere se dilko churana...

Abtere bin jeelenge hum, zeher zindagi ka peelenge hum... one of the greatest broken heart songs.

And my personal favorite: Tu... meri zindagi hai... tu... meri har khushi hai, tuhi pyar tuhi chaaat, tuhi ashiqi hai... Pehli mohabbat ka ehsas hai tu.. bujhke jo bujhna payi woh pyas hai tu...

The music was a cult hit and the hairstyle of [link=nm0747149]. It was called Rahul cutting in Bangladesh's most of the saloon.

Introducing the voice of [link=nm0764384].

Introducing mega-hit by Nadeem Shravan.",Aashiqui,https://www.imdb.com/title/tt0149573/,movie,6.3,152,1990,"Musical, Drama, Romance",1745,1990-07-23,Mahesh Bhatt
2,tt0156985,2021-03-03,2021-03-08,"Rehne ko ghar nahin sone ko bistar nahin, apna khuda hai rakhwala...

Hum tere bin kahin reh nahin pate, tum nahin aate to hum mar jaate... [link=nm0542317]

Tak dhin dhin tak, tak dhin dhin tak, milte hi tujhe dil nacch utha...

Zamane ke dekhe hai rang hazaar...

Tumhein Apna Banaane Ki... [link=nm0764384]

Jab jab pyar pe pehra hua hai, pyar aur bhi gehra, gehra, gehra, gehra hua hai...

Our first audio cd cassette when I was in class 6 may be, it was 1998. It was the only cd cassette we had that time so listening to this was a daily routine. I miss those days a lot.

The movie was also a cult hit because of its music from Nadeem-Shravan and the villain, cult villain in the history of Bollywood, [link=nm0025389].",Sadak,https://www.imdb.com/title/tt0156985/,movie,6.4,134,1991,"Action, Drama, Romance, Thriller",2527,1991-12-20,Mahesh Bhatt
3,tt0213753,2018-11-20,2021-05-22,"Epic music by [link=nm0006246].

Ae nazneen sunona... what a song, what a location. [link=nm0008711]

Imteha hum pyar ke leke raha dekhe kya hai natija... Dola dola dola mann dola dola dola...  what a devine voice of [link=nm0820204], I loved the lady voice [link=nm0841913]

Roja roja roja roja roja meri roja... ek nazar mein kho gaya dil pai tujhme pyar ki manzil... [link=nm0881291]

The movie is also a very cute love story. Sadly the hero is dead in real.

Hindi name is: Dil Hi DIl Mein.",Kadhalar Dinam,https://www.imdb.com/title/tt0213753/,movie,6.4,147,1999,"Drama, Musical, Romance",644,1999-07-09,Kathir
4,tt0114234,2021-03-04,2021-03-04,"Rangeela Re...

Hai Rama...

Kya Kare Kya Na Kare...

Tanha Tanha Yahan Pe Jeena...

Pyar Ye Jaane Kaisa...

Yaaro Sun Lo Zara...

Mangta Hai Kya...

A cult musical hit.

One of my most favorite movies.

[link=nm0006246] Aamir Khan, Ram Gopal, Jackie, what a combination.

This movie is an art.",Rangeela,https://www.imdb.com/title/tt0114234/,movie,7.5,142,1995,"Comedy, Drama, Musical, Romance",9607,1995-09-08,Ram Gopal Varma
5,tt0193102,2018-11-29,2021-03-15,"Just unforgettable music ever...

Dil Ka Kya Kasoor...

Milne Ki Tum Koshish Karna... [link=nm0080427]

Mera Sanam Sab Se Pyara Hai...

Dil Jiger Nazar Kya Hai... personal favorite

Khata To Jab Ho Ke...

Ga Raha Hoon Is Mehfil Mein...

[link=nm0764384] triumphant.

Nadeem-Shravan",Dil Ka Kya Kasoor,https://www.imdb.com/title/tt0193102/,movie,5.8,157,1992,"Musical, Romance",209,1992-01-14,Lawrence D'Souza
6,tt0328998,2017-04-13,2021-03-03,"Dil Laga Liya Maine Tumse Pyar Karke...

Kasam Khake Kaho, muskurake kaho, dil lagake kaho, tumko humse pyar hai... personal favoite.

O sahiba, O sahiba, milenge tumko toh batayenge ke kitna pyar hai humen...

Mohabbat Dil Ka Sakoon Hai Aetbar...

Mastaana mausam hai, rangeen nazaara
Dhadkan kya kehti hai, samjho ishaara
Aaj se jaaneman dil hai tumhaara... Singer: [link=nm0764384], [link=nm0621257], [link=nm0003504]",Dil Hai Tumhaara,https://www.imdb.com/title/tt0328998/,movie,5.4,210,2002,"Drama, Romance",1827,2002-09-06,Kundan Shah
7,tt0193449,2018-11-29,2021-03-15,"Tumhein Dekhen Meri Aankhein...

Teri Mohabbat Ne Dilme Makan Karliya... [link=nm0764384]

Tujhe Na Dekhoon...

Dil Cheer Ke Dekh Tera Hi Naam Hoga...

Nadeem-Shravan",Rang,https://www.imdb.com/title/tt0193449/,movie,4.9,150,1993,"Drama, Romance",205,1993-07-09,Talat Jani
8,tt0106270,2019-04-25,2021-03-04,"Choti si pyari si nannhi si ayi koi pari.... greatest children song. Both version, child version and [link=nm0621257] version.

Kya mausam aya hai... super nature song. what a voice, [link=nm0765071]

Rona Chahe Ro Na Paye... sad song

Jane jaaa jane jaaa rab teri duhai... super sad song.

[link=nm0893142] became my favorite actor.

Personal favorite movie + songs + comedy of [link=nm0505323] & [link=nm0073426]. 10/10",Anari,https://www.imdb.com/title/tt0106270/,movie,4.9,171,1993,"Comedy, Drama, Romance",458,1993-05-26,K. Muralimohana Rao
9,tt0238936,2019-04-24,2021-03-04,"Every single song. Gorgeous music. Gorgeous set. This movie is an art

Hamesha tumko chaha chaha chaha aur chaha...

Bairi piya barare be dardi...

Shesheko sheesha takraye.....

Silsila yeh chahat ka na maine bujhne dia ooo mmm... what a music [link=nm0200930]",Devdas,https://www.imdb.com/title/tt0238936/,movie,7.6,185,2002,"Drama, Musical, Romance",40573,2002-05-23,Sanjay Leela Bhansali
10,tt0112553,2017-04-13,2021-03-03,"Every single song.

AR Rahman's debut Hindi.

Tuhire tuhire tere bina main kaise jeeun... [link=nm0363028]... what a voice

Kehna hi kya yeh nain ek anjan si....

Kucchi kuchi rakma paas aye na...

and one and only - ""Bombay theme""",Bombay,https://www.imdb.com/title/tt0112553/,movie,8.1,141,1995,"Drama, Romance",12193,1995-03-10,Mani Ratnam
11,tt0156891,2019-04-11,2021-02-17,"These songs in a moonlit night, alone or with my love...

Tere dar par sanam chale aye...

Baadalon mein chup raha hai chand kyun...

Aane wala kal ek sapna hai gujra hua kal bas apna hai....",Phir Teri Kahani Yaad Aayee,https://www.imdb.com/title/tt0156891/,movie,5.8,105,1993,"Romance, Drama",280,1993-06-30,Mahesh Bhatt
12,tt0117437,2019-04-25,2021-03-15,"Every song is super.

Udit narayan at his best.

Aye ho mere zindagime tum bahar banke...

Pucho zara pucho mujhe kya hua hai....

Kitna pyara tujhe rab ne banaya jee kare dekhta rahoon...

Uff kya raat ayi hai mohabbat rang layi hai... Hum jashn manayenge, Sagar chalkayenge, Na hoshme ayenge... Tere Ishqme nachenge... dum dum diga diga... A cult hit

Childhood favorite.

Nadeem-Shravan.",Raja Hindustani,https://www.imdb.com/title/tt0117437/,movie,6.2,177,1996,"Action, Comedy, Drama, Musical, Romance",7433,1996-11-08,Dharmesh Darshan
13,tt0299108,2017-04-13,2021-03-03,"Zara zara... [link=nm1425113]

RHTDM...

O mama mama, hum sare hai mumbaiya...

Sach keh raha hai dewana, dil, dilna kisise lagana... heart broken song. [link=nm0433881]

Dil ko tumse pyar hua, pehli baar hua tumse pyar hua... personal favorite. Singer [link=nm0711756]",Rehnaa Hai Terre Dil Mein,https://www.imdb.com/title/tt0299108/,movie,7.6,160,2001,"Musical, Romance",7994,2001-10-19,Gautham Vasudev Menon
14,tt0105271,2018-11-20,2021-03-03,"Roja janeman, tu hi mera dil, tujh bin kaise jeena...  

Yeh haseen wadiyan yeh khula asmaan...

[link=nm0004416]... what a voice

Dil hai chota sa, choti si asha...",Roja,https://www.imdb.com/title/tt0105271/,movie,8.2,137,1992,"Drama, Romance, Thriller",12448,1992-08-15,Mani Ratnam
15,tt0099429,2021-03-04,2021-03-04,"Mujhe Neend Na Aaye...

Hum Pyaar Karne Wale, Dunya Se Na Darne Wale...

Hum Ne Ghar Chora Hai...

Khambe Jaise Khari Hai...

O Priyaa Priyaa, Kyun Bhula Diya...",Dil,https://www.imdb.com/title/tt0099429/,movie,6.7,172,1990,"Comedy, Drama, Romance",5176,1990-06-22,Indra Kumar
16,tt0112313,2021-03-08,2021-03-08,"Aisa Zakham Diya Hai, Jo Na Bharega, Har Haseen Chehre pe Ab Yeh Dil Darega...

Akele Hum Akele Tum... Great father son song

Raja Ko Rani Se Pyaar Ho Gaya...

Dil Mera Churaya Kyun...

Dil Kehta Hai Chal Unse Mil...",Akele Hum Akele Tum,https://www.imdb.com/title/tt0112313/,movie,7.0,160,1995,Drama,4927,1995-11-30,Mansoor Khan
17,tt0112459,2017-04-13,2021-05-22,"Humko sirf tumse pyar hai... the starting of the song is very long and I love this too much.

Nahin yeh hon sakta...

Teri adao pe marta hoon, love tujhe love mein karta hoon...",Barsaat,https://www.imdb.com/title/tt0112459/,movie,5.4,166,1995,"Action, Romance",1243,1995-10-06,Rajkumar Santoshi
18,tt0120540,2017-04-13,2021-02-18,"This is a perfect example of melody.

Mein koi aisa geet gaoon...

Chand tare...

Ekdin aap...

Suniye to...

Jaata hai tu kahan...

Choodi baji hai...

Personal favorite movie.",Yes Boss,https://www.imdb.com/title/tt0120540/,movie,6.8,163,1997,"Comedy, Drama, Musical, Romance",12997,1997-07-18,Aziz Mirza
19,tt0112870,2018-11-20,2021-02-15,"Tujhe dekha to yeh jana sanam... pyear hota hai deewana sanam...

Mehendi lagate rakhna...

Hogayi hai tujhko... and all other songs..

Most evergreen love story in history.",Dilwale Dulhania Le Jayenge,https://www.imdb.com/title/tt0112870/,movie,8.1,189,1995,"Drama, Romance",66726,1995-10-19,Aditya Chopra
20,tt0164538,2019-04-24,2021-02-23,"A.R. Rahman at his best.

Personal favorite.

Ae ajnabi....

Dilse re...

Chaiya chaiya...

Tuhi tu satrangi re... The video...

and a Tamil song Jiya jale jaa jale.. with SRK & Preity & the elephants.",Dil Se..,https://www.imdb.com/title/tt0164538/,movie,7.6,144,1998,"Drama, Romance",27951,1998-08-21,Mani Ratnam
21,tt0244794,2018-11-20,2021-10-05,"A remake of the epic Bangla Hothat Bristi. Which is still epic in music. This Hindi version has also great music.

Pehli pehli baar mohabbat ki hai kuch na samajhme aye mein kya karoon...

The title song... Sirf tum...

Cult hit... dilbar dilbar... 

Nature song... Panchchi sur mein gaate hai, bhavre gun gunate hai, ghungru bajate hawa...

Personal favorite movie.",Sirf Tum,https://www.imdb.com/title/tt0244794/,movie,6.1,150,1999,"Romance, Drama",1487,1999-06-11,Ahathian
22,tt0347304,2018-11-20,2021-02-23,"The title song is itself an epic. 

Har ghadi badal rahi hai roop zindagi
Chaon hai kabhi, kabhi hai dhoop zindagi
Har pal yahan jee bhar jiyo
Joh hai samaan kal ho naa ho...

Pretty woman...

Kuch to hua hai... ",Kal Ho Naa Ho,https://www.imdb.com/title/tt0347304/,movie,7.9,186,2003,"Comedy, Drama, Musical, Romance",66531,2003-11-27,Nikkhil Advani
23,tt0190419,2021-03-04,2021-03-04,"Aankhon Se Tune Yeh Kya...

Jadu Hai Tera Hi Jadu...

Ab Naam Mohabbat Ke Iljaam To Aya Hai...

Aati Kya Khandala... Cult hit",Ghulam,https://www.imdb.com/title/tt0190419/,movie,7.3,162,1998,"Action, Crime, Drama, Romance, Thriller",11210,1998-06-19,Vikram Bhatt
24,tt0126871,2018-11-29,2021-02-23,"One of the best among this list.

Koi na koi chahiye pyar karne wala...

Sochenge tumhein pyar kareke nahin.

I still listen very emotionally remembering... Teri ummeed tera intezar karte hai... Rip Rishi Kumar",Deewana,https://www.imdb.com/title/tt0126871/,movie,6.9,185,1992,"Action, Comedy, Crime, Musical, Romance",6495,1992-06-25,Raj Kanwar
25,tt0110222,2017-04-13,2021-02-23,"Ae kaash ke hum hosh me ab ane na paye... what a song...man!

One of the most evergreen movies, I can watch again and again.",Kabhi Haan Kabhi Naa,https://www.imdb.com/title/tt0110222/,movie,7.8,158,1994,"Comedy, Drama, Music, Musical, Romance",17905,1994-02-25,Kundan Shah
26,tt0392360,2018-11-20,2021-02-15,"A musical movie, an environmental, sad, sweet angry love story. All the music is good.

Sathya tune kya kiya... personal favorite.",Love,https://www.imdb.com/title/tt0392360/,movie,5.9,152,1991,"Drama, Musical, Romance",1370,1991-11-15,Suresh Krishna
27,tt0108144,2018-12-01,2021-02-23,"My personal favorite music. Every song is too good.

Sir sir o sir we love you...

Aaj humne dilka har...

Yeh ujli chandni jab...

Jis din suraj ki pehli kiran...

and one and only- Sun sun sun barsaat ki dhun sun...",Sir,https://www.imdb.com/title/tt0108144/,movie,6.3,151,1993,"Crime, Drama, Romance",351,1993-06-21,Mahesh Bhatt
28,tt0104561,2018-11-20,2021-02-23,"Most fresh song on the list. I can listen a million times together.

Pehla nasha...pehla khumar...naya pyar hai naya intezar... what a location, what a video... epic one.",Jo Jeeta Wohi Sikandar,https://www.imdb.com/title/tt0104561/,movie,8.2,174,1992,"Comedy, Drama, Romance, Sport",22658,1992-05-22,Mansoor Khan
29,tt0182251,2018-12-01,2021-02-23,"Good melodious warm light story movie. Personal favorite.

Pehli pehli bar jab pyar kisise hota hai...

Madhosh dil ki dhadkan...

Chal pyar karegi ha ji haji mere saath chalegi na ji na ji...

O jaana na jaana jaha bhi tu jaye tere piche aye yeh ashiq bada purana...

Iss dil mein kya hai dhadkan dhadkan mein kya hai sajan tu meri kya hai...",Jab Pyaar Kisise Hota Hai,https://www.imdb.com/title/tt0182251/,movie,5.9,154,1998,"Comedy, Drama, Romance",2692,1998-05-22,Deepak Sareen
30,tt0136352,2021-02-12,2021-02-16,"Dekha tujhe to ho gai diwani paloon ujhe to kho na jau kahin... One of my most favorite songs

Ghumte mein chanda hai phir bhi feyla charon oour ujala, hosh a kho de kahin josh mein dekhne wala...

Tanhayin tanhayin tanhayin dono ko paas le aayi...",Koyla,https://www.imdb.com/title/tt0136352/,movie,6.2,166,1997,"Action, Drama, Musical, Romance, Thriller",8682,1997-04-07,Rakesh Roshan
31,tt0248012,2019-04-24,2021-02-16,"I love these songs.

Tu hawa hai fiza hai zameen ki nahin tu ghata hai tu fir kyu barasti nahin udti rehti tu panchio ki tarah aa mere aashiyane me aa... 

Aahista pukaro sab sunlenge... 
aja mahiya...

Cult - mehboob mere mehboob mere... mujhe mast mohol mein jeene de...",Fiza,https://www.imdb.com/title/tt0248012/,movie,6.1,170,2000,"Action, Crime, Drama, Romance",4039,2000-09-08,Khalid Mohamed
32,tt0119239,2017-04-13,2021-02-15,"My first cassette I purchased when I was in class 5. Only for this song: Mere khawabon mein tu... mere sanso mein tu, mere baho mein tu dilki raho mein tu... raat din subho sham leke teara naam mere dilne kiye tujhe lakho salam... 

Nostalgic.

Mere sanam...

Mushkil bada yeh pyar hai...",Gupt: The Hidden Truth,https://www.imdb.com/title/tt0119239/,movie,7.3,173,1997,"Action, Crime, Mystery, Romance, Thriller",4876,1997-08-15,Rajiv Rai
33,tt0337611,2017-06-01,2021-02-15,"Jeeta tha jiske lie... one of the greatest broken heart songs.

kitna haseen chehra... ",Dilwale,https://www.imdb.com/title/tt0337611/,movie,5.7,172,1994,"Action, Drama, Romance",2841,1994-02-04,Harry Baweja
34,tt0101733,2018-11-20,2021-02-23,"Tu pyar hai kisi aur ki... tujhe chahata koi aur hai... what a sad broken heart song.

The title song...

Adaye bhi hai, mohabbat bhi hai, nazaqat bhi hai.... meri mehboob mein...",Dil Hai Ki Manta Nahin,https://www.imdb.com/title/tt0101733/,movie,7.3,154,1991,"Adventure, Comedy, Drama, Musical, Romance",4220,1991-07-12,Mahesh Bhatt
35,tt1166100,2021-02-02,2021-02-23,"Tu meri adhuri pyaass... hai guzariish...

Kaise mujhe tum mil gayi... This song reminds me of my college days, when it released, the next day was my final exam, yet I watched it to relax myself.",Ghajini,https://www.imdb.com/title/tt1166100/,movie,7.3,186,2008,"Action, Drama, Mystery, Thriller",58804,2008-12-24,A.R. Murugadoss
36,tt0107166,2018-11-20,2021-02-15,"Kash koi ladki mujhe pyar karti...

Ghunghat Ki Aaad Se Dilbar Ka...

Woh meri neend mera chain mujhe...",Hum Hain Rahi Pyar Ke,https://www.imdb.com/title/tt0107166/,movie,7.4,163,1993,"Comedy, Drama, Romance",5650,1993-07-05,Mahesh Bhatt
37,tt0102825,2018-11-20,2021-02-15,"Movie is itself an epic one. Soft melodious love story. Personal favorite. Every single song is great.

Mera dil bhi kitna pagal hai...

Bahut Pyar Karte Hai...

Jiye to jiye kaise...

Tu shayar hai...

Tumse milne ki tamanna...",Saajan,https://www.imdb.com/title/tt0102825/,movie,7.3,193,1991,"Drama, Musical, Romance",6565,1991-08-30,Lawrence D'Souza
38,tt0189492,2017-04-13,2021-02-15,"Jagjit Singh ghazal. Chtthi na koi sandes, jaane woh kaun sa des jahan tum chale gaye....

Awaz do humko hum kho gaye, kab nind se jaage kab so gaye....

Pyar ko ho jane do...

(Best villain)",Dushman,https://www.imdb.com/title/tt0189492/,movie,6.9,145,1998,"Crime, Drama, Thriller",1916,1998-05-29,Tanuja Chandra
39,tt0150992,2021-03-04,2021-03-09,"Chand Chupa Badal Mein... Personal favorite

Aankhon Ki Gustakhiyan...

Jhonka Hawa Ka... what a voice [link=nm0363028] I like the video, Salman's crying.

Most favorite: Tadap tadap ke is dil se aah nikalti rahi mujhko saza di pyar ki aisa kya gunah kia toh lut gaye ha lut gaye, to lut gaye hum teri mohabbat mein... devine singing by [link=nm0433881]

Music by [link=nm0200930]",Hum Dil De Chuke Sanam,https://www.imdb.com/title/tt0150992/,movie,7.5,177,1999,"Comedy, Drama, Musical, Romance",18025,1999-06-18,Sanjay Leela Bhansali
40,tt0106333,2017-04-13,2021-02-15,"Ae mere humsafar...the flute part.

Chuppana bhi nehi aata... broken heart song.

Mere dil tha akela... Shah Rukh rides a horse, a great scene..

Yeh kali kali aakhein... Anu Malik",Baazigar,https://www.imdb.com/title/tt0106333/,movie,7.7,175,1993,"Crime, Drama, Musical, Romance, Thriller",27220,1993-11-12,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla"
41,tt0307873,2019-04-24,2021-02-16,"One of the movie which have every song become very popular.

Main agar samne avi jaya karun...",Raaz,https://www.imdb.com/title/tt0307873/,movie,6.6,151,2002,"Drama, Horror, Musical, Mystery, Romance, Thriller",3296,2002-02-01,Vikram Bhatt
42,tt0227496,2017-04-13,2021-03-04,"Choomloon hooth tere.. dilki yehi khwash hai, baat yeh meri nahin pyar ki farmaesh hai... epic song. Kuman Sanu at his best.

The rating of this movie is lower, but I loved this movie very much. It's of my favorite comedy movies.",Shreemaan Aashique,https://www.imdb.com/title/tt0227496/,movie,4.8,152,1993,"Comedy, Romance",143,1993-03-05,Deepak Anand
43,tt0126234,2017-04-13,2021-02-23,Iss pyar se meri taraf na dekho... pyar ho jayega... Top 10 Romantic songs ever.,Chamatkar,https://www.imdb.com/title/tt0126234/,movie,6.6,171,1992,"Comedy, Drama, Fantasy",6030,1992-07-08,Rajiv Mehra
44,tt0272688,2020-11-06,2021-02-16,"Nadeem Shravan Music

Mohabbat ho najaye, deewana kho na jaye...

Kitni bechen hoke...

Zindagi ban gaye ho tum...

Every song is good.",Kasoor,https://www.imdb.com/title/tt0272688/,movie,6.0,151,2001,"Drama, Mystery, Thriller",976,2001-02-02,Vikram Bhatt
45,tt0110546,2019-05-07,2021-03-08,"Action blockbuster as well as a musically super hit.

Tu chiz badi hai mast mast...

Aye kash kahi aisa hota ke do dil hote seene mein...

Subah se lekar sham tak, sham se lekar rat tak, rat se lekar subah tak... mujhe pyar karo...

Na kazre ki dhaar na motio ke haar... [link=nm0879857]... wah.",Mohra,https://www.imdb.com/title/tt0110546/,movie,7.0,177,1994,"Action, Drama, Thriller",7929,1994-07-01,Rajiv Rai
46,tt0152836,2017-04-13,2021-02-15,"Mere paas hai tu... one of the beautiful rainy songs. I like the video very much.

Taal title song... The music of AR Rahman is just awesome.

Ishq bina kya jeena yaaro ishq bina kya marna...
Epic music- Every song is too good.",Taal,https://www.imdb.com/title/tt0152836/,movie,6.7,179,1999,"Drama, Musical, Romance",5264,1999-08-13,Subhash Ghai
47,tt0374271,2017-04-13,2021-02-15,"Kyun kisiko...

tere naam...

O jaana...

Lagan lagi...

epic music.",Tere Naam,https://www.imdb.com/title/tt0374271/,movie,7.2,132,2003,"Action, Drama, Romance",18225,2003-08-15,Satish Kaushik
48,tt0095936,2021-03-12,2021-03-12,"Udit Narayan triumphant.

Papa Kehte Hain...

Ae Mere Humsafar...

Akele Hain To Kya Gum Hai...

Gazab Ka Hai Din...

One of the most nostalgic movie songs ever.",Qayamat Se Qayamat Tak,https://www.imdb.com/title/tt0095936/,movie,7.5,162,1988,"Drama, Musical, Romance",10714,1988-04-29,Mansoor Khan
49,tt1522329,2019-04-25,2021-02-16,"Every song...

Tum Mile... several versions.

Dil Ibadat kar raha hai dhadkane meri sun...

Tuhi haqeeqat khwab tu....",Tum Mile,https://www.imdb.com/title/tt1522329/,movie,5.0,140,2009,"Drama, Romance",1617,2009-11-13,Kunal Deshmukh
50,tt0118983,2021-03-11,2021-03-11,"Every single song is very good.

Dil to pagal hai dil dewana hai...

Arre re arre yeh kya hua...

Bholisi durat ankho mein masti door khadi sharmaye...

Dholna...

Chand ne kuch kaha, raat ne kuch suna...

Koi ladki hai... Rainy song

Udit Narayan, Lata Mangeshkar at their best.

The choreography is also very good. [link=nm1021347]",Dil To Pagal Hai,https://www.imdb.com/title/tt0118983/,movie,7.0,180,1997,"Comedy, Drama, Musical, Romance",21726,1997-10-31,Yash Chopra
51,tt1839596,2017-04-13,2021-02-23,"Sadda haq...

Nadaan parindey...",Rockstar,https://www.imdb.com/title/tt1839596/,movie,7.7,159,2011,"Drama, Music, Romance",42225,2011-11-11,Imtiaz Ali
52,tt0346723,2017-04-13,2021-02-15,"Every single songs.

suno na suno na...

tauba tumhara...

ghumshuda...",Chalte Chalte,https://www.imdb.com/title/tt0346723/,movie,6.6,167,2003,"Drama, Romance",15091,2003-06-12,Aziz Mirza
53,tt0173081,2017-04-13,2021-02-15,"Jab kisiki taraf dil jhukne lage, baat akar juba tak rukne laage... ankhon ankhon mein pyar hone lage..... Personal favorite.


Ajnabi mujhko itna bataan, dil mera kyu pareshan hai.",Pyaar To Hona Hi Tha,https://www.imdb.com/title/tt0173081/,movie,6.7,156,1998,"Comedy, Drama, Romance",3136,1998-07-15,Anees Bazmee
54,tt0173080,2017-04-13,2021-02-15,"O o jane jana and others... Salman's first body showing song.

Jab pyar kiya to darna kya...

Melodious songs.

Evergreen movie.",Pyaar Kiya To Darna Kya,https://www.imdb.com/title/tt0173080/,movie,6.7,162,1998,"Action, Comedy, Drama, Romance",5049,1998-03-27,Sohail Khan
55,tt0218533,2017-04-13,2021-02-18,"Sunta hai mera khuda, actually I liked the starting of this song very much.

Que sara sara..",Pukar,https://www.imdb.com/title/tt0218533/,movie,6.8,176,2000,"Action, Drama, Romance, Thriller",2315,2000-02-04,Rajkumar Santoshi
56,tt0189633,2017-04-13,2021-02-15,"Chori chori jab nazre mili... I still humming myself...

Churalo na dil mera... one of the most beautiful songs, love stories, comedy, drama, my personal favorite movie as well.",Kareeb,https://www.imdb.com/title/tt0189633/,movie,6.5,145,1998,"Drama, Romance",1117,1998-07-17,Vidhu Vinod Chopra
57,tt0100095,2018-11-20,2018-11-20,"Great music. vergreen. Kabotar ja ja... mere rang mein rangne wali...Aaja Shaam Hone Aayee, Dil Deewana... nostalgic..",Maine Pyar Kiya,https://www.imdb.com/title/tt0100095/,movie,7.3,192,1989,"Drama, Musical, Romance",11836,1989-12-29,Sooraj R. Barjatya
58,tt0234000,2018-11-20,2021-02-18,"Kaho Naa Pyaar Hai...

Na yum jano na hum...

Pyar ki kasti mein...

Ek pal ka jeena...

Chaand sitare...

If I listen to these songs million times, I won't be bored.",Kaho Naa... Pyaar Hai,https://www.imdb.com/title/tt0234000/,movie,6.9,172,2000,"Action, Musical, Romance, Thriller",14642,2000-01-14,Rakesh Roshan
59,tt0374342,2018-11-29,2019-01-14,One and only - Tere liye saari umar jaagu mein to yahin rabse dua mangu naam mere likhde teri baaki zindagi naina o meri naina...,Yaad Rakhegi Duniya,https://www.imdb.com/title/tt0374342/,movie,6.5,153,1992,"Drama, Romance",115,1992-03-01,Deepak Anand
60,tt0193246,2018-11-29,2021-02-15,One and only... Bin tere kuch bhi nahin hai jivan mera.... great.,Jaan Se Pyaara,https://www.imdb.com/title/tt0193246/,movie,5.4,180,1992,"Action, Crime, Drama",124,1992-05-06,Anand
61,tt0254683,2018-12-01,2021-02-18,"Every song is great. 

Dheere Dheere Pyar Ko...

I Love You...

Jise Dekh Mera Dil Dhadke...

Maine Pyar Tumhi Se Kiya Hai...

Pehli Baarish Main Aur Tu...

Premi Aashiq Aawara...

Tumse Milne Ko Dil...",Phool Aur Kaante,https://www.imdb.com/title/tt0254683/,movie,5.9,173,1991,"Action, Drama, Romance",1403,1991-11-22,Kuku Kohli
62,tt0109010,2018-12-20,2021-03-01,"Epic music. Ek ladki ko dekha to...

A kiss... after... kuch na kaho kuch bhi na kaho...",1942: A Love Story,https://www.imdb.com/title/tt0109010/,movie,7.2,157,1994,"Action, Drama, History, Musical, Romance",3326,1994-07-15,Vidhu Vinod Chopra
63,tt0156982,2018-12-26,2019-01-14,Zindagi ke talaash mein hum maut ke kitne paas aa gaye....,Saathi,https://www.imdb.com/title/tt0156982/,movie,6.3,175,1991,"Action, Crime, Drama, Romance",198,1991-09-03,Mahesh Bhatt
64,tt0207415,2019-01-02,2021-02-15,"Yeh khoya khoya rehta hai yeh din mein soya soya rehta hai...

A great song- kissa hum likhenge dil bekarar hai...",Doli Saja Ke Rakhna,https://www.imdb.com/title/tt0207415/,movie,6.4,170,1998,"Drama, Romance",535,1998-11-27,Priyadarshan
65,tt0226847,2019-01-02,2021-03-04,"janam samjha karo...

love hua ab yeh na poocho yeh kab hua...",Jaanam Samjha Karo,https://www.imdb.com/title/tt0226847/,movie,4.9,153,1999,"Drama, Romance",1794,1999-04-02,Andaleeb Sultanpuri
66,tt0284328,2019-01-04,2021-03-04,"Mujhe kuch kehna hai...

Good youthful song- Pyar re dil mange pyar re...

Jabse dekha hai...

Iss pyar ko mein kya naam doon, bechain dil ko kaise aram doon... Rabba mere rabba rabba... favoite",Mujhe Kucch Kehna Hai,https://www.imdb.com/title/tt0284328/,movie,5.0,135,2001,"Drama, Romance",1175,2001-05-25,Satish Kaushik
67,tt0456481,2019-01-10,2021-03-04,"Sau dard hai, sau raaste... My most favorite sad sond.

Ajnabi sheher hai, ajnabi sham hai...

Humko malum hai, ishq masum hai...",Jaan-E-Mann: Let's Fall in Love... Again,https://www.imdb.com/title/tt0456481/,movie,6.1,165,2006,"Comedy, Drama, Musical, Romance",8412,2006-10-20,Shirish Kunder
68,tt0091284,2019-01-14,2021-03-08,"Tera saath hain kitna pyara, kam lagta hai jivan sara...

Har kisiko nahin milta yahan pyar zindagi mein... [link=nm0542317] cult hit",Janbaaz,https://www.imdb.com/title/tt0091284/,movie,6.2,175,1986,"Action, Drama",694,1986-06-10,Feroz Khan
69,tt0495032,2019-01-14,2021-03-04,"Ya ali... great vocalist

Tu hi meri shab hai...

Bheegi bheegi... by James... cult hit",Gangster,https://www.imdb.com/title/tt0495032/,movie,7.1,123,2006,"Action, Crime, Drama, Romance, Thriller",5956,2006-04-28,Anurag Basu
